Date,High,Vol.,Low,Price,Chg. %,Open
1/1/2014,"$1,269.40",52.67K,"$1,204.30","$1,240.10",3.18%,"$1,204.30"
1/12/2013,"$1,267.00",14.56K,"$1,182.00","$1,201.90",-3.89%,"$1,251.40"
1/11/2013,"$1,325.70",92.25K,"$1,229.00","$1,250.60",-5.52%,"$1,325.70"
1/10/2013,"$1,359.70",2.56K,"$1,254.10","$1,323.60",-0.22%,"$1,328.00"
1/9/2013,"$1,414.40",4.59K,"$1,292.10","$1,326.50",-4.99%,"$1,393.00"
1/8/2013,"$1,428.00",10.14K,"$1,274.00","$1,396.10",6.38%,"$1,323.00"
1/7/2013,"$1,345.10",51.81K,"$1,208.90","$1,312.40",7.24%,"$1,234.70"
1/6/2013,"$1,422.70",12.13K,"$1,183.20","$1,223.80",-12.12%,"$1,389.10"
1/5/2013,"$1,487.10",53.45K,"$1,342.90","$1,392.60",-5.41%,"$1,475.80"
1/4/2013,"$1,602.60",14.30K,"$1,323.00","$1,472.20",-7.69%,"$1,596.80"
1/3/2013,"$1,613.10",58.37K,"$1,561.80","$1,594.80",1.08%,"$1,579.60"
1/2/2013,"$1,683.40",10.81K,"$1,554.50","$1,577.70",-4.99%,"$1,663.90"
1/1/2013,"$1,694.70",51.88K,"$1,625.70","$1,660.60",-0.85%,"$1,672.80"
1/12/2012,"$1,722.30",6.82K,"$1,635.80","$1,674.80",-2.11%,"$1,714.90"
1/11/2012,"$1,750.50",69.65K,"$1,674.30","$1,710.90",-0.38%,"$1,722.30"
1/10/2012,"$1,794.80",2.63K,"$1,698.60","$1,717.50",-3.03%,"$1,766.00"
1/9/2012,"$1,785.30",10.33K,"$1,687.70","$1,771.10",5.13%,"$1,689.10"
1/8/2012,"$1,690.00",11.42K,"$1,583.10","$1,684.60",4.60%,"$1,613.40"
1/7/2012,"$1,627.50",59.61K,"$1,557.20","$1,610.50",0.44%,"$1,597.10"
1/6/2012,"$1,639.70",10.99K,"$1,545.50","$1,603.50",2.62%,"$1,560.00"
1/5/2012,"$1,670.50",86.46K,"$1,528.50","$1,562.60",-6.06%,"$1,665.00"
1/4/2012,"$1,682.80",9.55K,"$1,613.00","$1,663.40",-0.35%,"$1,670.40"
1/3/2012,"$1,724.60",61.45K,"$1,633.80","$1,669.30",-2.37%,"$1,698.60"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Open:1698.60,Highest:2121.70,Lowest:1121.00,Chg. %:8.80%,,,
